Timestamp,ReportingGroup,LocationName,Value,Unit
06/15/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,57,kWh
06/16/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,26,kWh
06/17/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,47,kWh
06/18/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,47,kWh
06/19/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,52,kWh
06/20/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,55,kWh
06/21/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,82,kWh
06/22/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,1,kWh
06/23/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,28,kWh
06/24/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,46,kWh
06/25/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,46,kWh
06/26/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,42,kWh
06/27/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,32,kWh
06/28/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,51,kWh
06/29/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,51,kWh
06/30/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,10,kWh
07/01/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,47,kWh
07/02/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,40,kWh
07/03/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,56,kWh
07/04/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,59,kWh
07/05/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,53,kWh
07/06/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,67,kWh
07/07/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,30,kWh
07/08/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,52,kWh
07/09/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,53,kWh
07/10/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,58,kWh
07/11/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,48,kWh
07/12/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,58,kWh
07/13/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,62,kWh
07/14/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,25,kWh
07/15/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,52,kWh
07/16/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,45,kWh
07/17/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,58,kWh
07/18/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,54,kWh
07/19/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,55,kWh
07/20/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,59,kWh
07/21/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,33,kWh
07/22/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,48,kWh
07/23/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,48,kWh
07/24/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,48,kWh
07/25/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,48,kWh
07/26/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,46,kWh
07/27/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,47,kWh
07/28/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,23,kWh
07/29/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,45,kWh
07/30/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,44,kWh
